Strain Combination	Observed Ratio (%)	Simulated Mean (%)	Simulated Std Dev (%)
lactateB, lactateC, lactateD, lactateE	60.67	0.14	0.16
lactate2, lactate3, lactateA, lactateB, lactateC	37.41	0.01	0.05
lactate2, lactate3, lactateA, lactateB, lactateD	37.84	0.01	0.05
lactate2, lactate3, lactateA, lactateB, lactateE	42.12	0.00	0.03
lactate2, lactate3, lactateA, lactateC, lactateD	37.80	0.01	0.04
lactate2, lactate3, lactateA, lactateC, lactateE	42.08	0.01	0.04
lactate2, lactate3, lactateA, lactateD, lactateE	42.62	0.01	0.04
lactate2, lactate3, lactateB, lactateC, lactateD	36.03	0.01	0.05
lactate2, lactate3, lactateB, lactateC, lactateE	39.90	0.01	0.05
lactate2, lactate3, lactateB, lactateD, lactateE	40.38	0.01	0.04
lactate2, lactate3, lactateC, lactateD, lactateE	40.35	0.01	0.04
lactate2, lactateA, lactateB, lactateC, lactateD	38.99	0.01	0.04
lactate2, lactateA, lactateB, lactateC, lactateE	43.56	0.00	0.03
lactate2, lactateA, lactateB, lactateD, lactateE	44.14	0.00	0.03
lactate2, lactateA, lactateC, lactateD, lactateE	44.10	0.00	0.03
lactate2, lactateB, lactateC, lactateD, lactateE	41.70	0.01	0.04
lactate3, lactateA, lactateB, lactateC, lactateD	81.29	0.03	0.07
lactate3, lactateA, lactateB, lactateC, lactateE	59.39	0.02	0.06
lactate3, lactateA, lactateB, lactateD, lactateE	60.03	0.02	0.06
lactate3, lactateA, lactateC, lactateD, lactateE	59.98	0.02	0.06
lactate3, lactateB, lactateC, lactateD, lactateE	57.30	0.02	0.06
lactateA, lactateB, lactateC, lactateD, lactateE	61.78	0.02	0.06
lactate2, lactate3, lactateA, lactateB, lactateC, lactateD	36.64	0.00	0.02
lactate2, lactate3, lactateA, lactateB, lactateC, lactateE	39.91	0.00	0.02
lactate2, lactate3, lactateA, lactateB, lactateD, lactateE	40.32	0.00	0.01
lactate2, lactate3, lactateA, lactateC, lactateD, lactateE	40.29	0.00	0.01
lactate2, lactate3, lactateB, lactateC, lactateD, lactateE	38.60	0.00	0.01
lactate2, lactateA, lactateB, lactateC, lactateD, lactateE	41.41	0.00	0.02
lactate3, lactateA, lactateB, lactateC, lactateD, lactateE	58.68	0.00	0.01
lactate2, lactate3, lactateA, lactateB, lactateC, lactateD, lactateE	38.80	0.00	0.01
